2018-05-24T06:43:05.774+0000 I CONTROL  [initandlisten] MongoDB starting : pid=42 port=27017 dbpath=/mongo/mem 64-bit host=node3
2018-05-24T06:43:05.775+0000 I CONTROL  [initandlisten] db version v3.6.4
2018-05-24T06:43:05.775+0000 I CONTROL  [initandlisten] git version: d0181a711f7e7f39e60b5aeb1dc7097bf6ae5856
2018-05-24T06:43:05.776+0000 I CONTROL  [initandlisten] allocator: tcmalloc
2018-05-24T06:43:05.776+0000 I CONTROL  [initandlisten] modules: none
2018-05-24T06:43:05.776+0000 I CONTROL  [initandlisten] build environment:
2018-05-24T06:43:05.777+0000 I CONTROL  [initandlisten]     distarch: x86_64
2018-05-24T06:43:05.777+0000 I CONTROL  [initandlisten]     target_arch: x86_64
2018-05-24T06:43:05.777+0000 I CONTROL  [initandlisten] options: { net: { bindIp: "0.0.0.0", port: 27017 }, replication: { replSet: "rs0" }, storage: { dbPath: "/mongo/mem" } }
2018-05-24T06:43:05.778+0000 I STORAGE  [initandlisten] wiredtiger_open config: create,cache_size=487M,session_max=20000,eviction=(threads_min=4,threads_max=4),config_base=false,statistics=(fast),cache_cursors=false,log=(enabled=true,archive=true,path=journal,compressor=snappy),file_manager=(close_idle_time=100000),statistics_log=(wait=0),verbose=(recovery_progress),
2018-05-24T06:43:06.384+0000 I STORAGE  [initandlisten] WiredTiger message [1527144186:384830][42:0x7f6f15edc9c0], txn-recover: Set global recovery timestamp: 0
2018-05-24T06:43:06.429+0000 I CONTROL  [initandlisten] 
2018-05-24T06:43:06.436+0000 I CONTROL  [initandlisten] ** WARNING: Access control is not enabled for the database.
2018-05-24T06:43:06.437+0000 I CONTROL  [initandlisten] **          Read and write access to data and configuration is unrestricted.
2018-05-24T06:43:06.437+0000 I CONTROL  [initandlisten] ** WARNING: You are running this process as the root user, which is not recommended.
2018-05-24T06:43:06.438+0000 I CONTROL  [initandlisten] 
2018-05-24T06:43:06.440+0000 I STORAGE  [initandlisten] createCollection: local.startup_log with no UUID.
2018-05-24T06:43:06.442+0000 I FTDC     [initandlisten] Initializing full-time diagnostic data capture with directory '/mongo/mem/diagnostic.data'
2018-05-24T06:43:06.446+0000 I STORAGE  [initandlisten] createCollection: local.me with no UUID.
2018-05-24T06:43:06.467+0000 I STORAGE  [initandlisten] createCollection: local.replset.minvalid with no UUID.
